id,text,model,split,few_shot_condtion
a49a6f01-1ecc-4da0-b76b-f283f518fc60,Wir waren sehr zufrieden.,Llama70B,0,random
d6c3769c-e06a-4b05-8ccf-e1338af83856,"Das Essen war gut, aber der Service leider nicht.",Llama70B,0,random
3772b851-5f3f-49a4-b456-dd1e8878abf4,Viel zu teuer für das was man bekommt.,Llama70B,0,random
011243dc-960f-4c73-8d8c-3c6238011f63,Wir waren schon öfters hier.,Llama70B,0,random
63a89c9b-458a-466b-89c3-462b9f1b1833,Das Restaurant ist sehr empfehlenswert.,Llama70B,0,random
3f4e12a0-05ef-44ca-9ef5-5ebe9a884384,Wir kommen gerne wieder.,Llama70B,0,random
47274208-f4bd-4407-9eb5-f4d21c14807c,Das Ambiente war sehr gemütlich und der Service hervorragend.,Llama70B,0,random
9ee7c693-3403-4fd5-b0e1-85c196c156c8,Mit freundlichem Personal und einer ganz normalen Kuchenküche.,Llama70B,0,random
69c3503a-9820-444f-b2a1-b4c9184bb9a0,Die Atmosphäre ist gemütlich.,Llama70B,0,random
dc4808a8-e91c-41eb-b1a8-2f02b83bc025,"Dabei war der Service so ziemlich nicht vorhanden, es dauerte ewig bis man jemanden sah und dann wieder ewig bis einer kam.",Llama70B,0,random
bc429f65-29ef-40a5-8933-ba9b072234bb,"Zurück zum Service: sehr freundlich, aber unerfahren.",Llama70B,0,random
a1668f68-5761-4eab-ab1c-67213cfcc4ad,Gerichte eher durchschnittlich.,Llama70B,0,random
801f9523-72cf-48b1-aaae-45843fa4898c,Hier ist der Preis für die Qualität einfach zu hoch.,Llama70B,0,random
06df319f-2a0b-4ac7-825c-cf5bb063b5ac,Die Pizza war sehr gut.,Llama70B,0,random
d207fb53-3e84-4e13-afd3-f80ae5436ad7,Die Kalamari waren aber leider zu fettig.,Llama70B,0,random
2e654381-cc86-40cb-91a7-86d5c215aebf,"Wir hatten Tapas, die waren allesamt gut, aber nichts Besonderes.",Llama70B,0,random
83069a96-8878-445a-bcb3-94c4257aab5e,"Das Preisniveau ist okay, aber es gibt auch bessere Pizzerien in Karlsruhe.",Llama70B,0,random
74feda28-4d9d-47e8-8c7a-c06b44952160,Wir waren sehr enttäuscht.,Llama70B,0,random
f436c400-c8b4-4d50-8648-073dba13775c,Ein ausgeglichener Abend mit guten und weniger guten Momenten.,Llama70B,0,random
9fb67685-1b8f-4c2d-ac69-d2ea88a4ed02,Eine schöne Atmosphäre hat es auch.,Llama70B,0,random
3a500ea0-4aa5-4dbb-88fb-23e206c6a59e,"Wenn man sich aber auf die Kölsche Art einlässt, ist dies ein schönes Lokal.",Llama70B,0,random
193d52e9-b0db-47dc-8af6-5c5784671ded,"Ein schönes Ambiente, das man so bald nicht wieder findet.",Llama70B,0,random
df98a93a-1111-4541-b284-b92e64ac0cc8,Die Atmosphäre war sehr laut und die Speisen nicht zu empfehlen.,Llama70B,0,random
c6b1ffe2-654e-4c1f-94cc-e51917ab8e54,"Das Essen war ok, aber nichts Besonderes.",Llama70B,0,random
5c0c787c-9474-468b-adfa-31a16d583522,Das Personal war sehr freundlich.,Llama70B,0,random
1fe3a92e-d989-4ff6-8e2f-c33aba18af9f,"Das Essen war leider nicht so gut wie das Personal, welches immer freundlich und zuvorkommend ist.",Llama70B,0,random
27f7faab-c98b-48cd-a90f-0e2095a03bc6,Für die Qualität ist das Restaurant zu teuer.,Llama70B,0,random
372d0c34-ff09-4456-87fd-fb8db4e100f4,"Der Preis war sehr hoch, die Bedienung sehr langsam.",Llama70B,0,random
20509ef6-c903-485f-bede-b0fc83d3bb98,Noch dazu rochen wir sehr unangenehm nach Frittierfett.,Llama70B,0,random
47211345-e040-43de-9154-fed0ae4f3b0c,"Wir waren dort zum ersten Mal und es hat uns sehr gut gefallen, auch wenn die Atmosphäre nicht so toll war.",Llama70B,0,random
b00f2917-0523-488a-85ac-4f829638a883,"Besuch war nicht schlecht, aber auch nicht der Hammer und das Essen war auch nicht gerade billig.",Llama70B,0,random
d37aaec5-e10e-4d01-accf-794585ab49ed,Der Preis ist angemessen und für eine große Auswahl an Getränken.,Llama70B,0,random
8aea11e7-4606-44d1-9318-0ef56a6d1a1c,"Preis ist ok, Ambiente nicht wirklich.",Llama70B,0,random
ca4e6f13-8bc2-4d5f-bff5-9fc24b79d3ba,Alles in allem ein sehr angenehmes Restaurant mit einer guten Küche.,Llama70B,0,random
0bf06a37-9cd8-4ae1-bb97-017046ee59f4,"Nicht nur das Essen ist ein Desaster, sondern auch die Bedienung.",Llama70B,0,random
